,date,dn,dn1,day,month,year,hour,minute,zenith_angle,radius_vec,equ_time,declination,rawpar,modpar,corrpar
653,2017-09-23 17:40:00+10:00,266,4,23,9,2017,17,40,86.0579086743591,0.9930456726880935,0.12732003044614562,0.0020552109105384762,66.1051,62.99414906007838,65.45387221786
654,2017-09-23 17:50:00+10:00,266,4,23,9,2017,17,50,88.42365725194402,0.9930456726880935,0.12732003044614562,0.0020552109105384762,32.8734,16.875149377817326,32.549550987239996
727,2017-09-24 06:00:00+10:00,267,5,24,9,2017,6,0,89.0736167746473,0.9936162223763997,0.13344024040276758,-0.004742758919839653,27.1523,6.308346299953331,26.88812712761
728,2017-09-24 06:10:00+10:00,267,5,24,9,2017,6,10,86.70752562225256,0.9936162223763997,0.13344024040276758,-0.004742758919839653,56.601,49.22288311225312,56.0503118907
729,2017-09-24 06:20:00+10:00,267,5,24,9,2017,6,20,84.34192285630557,0.9936162223763997,0.13344024040276758,-0.004742758919839653,133.877,103.27573872933964,132.57447050390002
730,2017-09-24 06:30:00+10:00,267,5,24,9,2017,6,30,81.97728749068595,0.9936162223763997,0.13344024040276758,-0.004742758919839653,220.989,166.722650097838,218.8389317223
731,2017-09-24 06:40:00+10:00,267,5,24,9,2017,6,40,79.61411263251462,0.9936162223763997,0.13344024040276758,-0.004742758919839653,271.712,237.8928612131471,269.0684324384
732,2017-09-24 06:50:00+10:00,267,5,24,9,2017,6,50,77.25291249976287,0.9936162223763997,0.13344024040276758,-0.004742758919839653,237.173,315.21107125774415,234.86547273110003
733,2017-09-24 07:00:00+10:00,267,5,24,9,2017,7,0,74.89423004935882,0.9936162223763997,0.13344024040276758,-0.004742758919839653,306.789,397.21486134602605,303.8041577823
734,2017-09-24 07:10:00+10:00,267,5,24,9,2017,7,10,72.53864544974817,0.9936162223763997,0.13344024040276758,-0.004742758919839653,471.972,482.56754431958814,467.38004282040004
735,2017-09-24 07:20:00+10:00,267,5,24,9,2017,7,20,70.18678567225274,0.9936162223763997,0.13344024040276758,-0.004742758919839653,739.982,570.0665121258033,732.7824931274
